year,oa_care_vic,ya_care_vic,oa_care_vir,ya_care_vir,oa_loya_vic,ya_loya_vic,oa_loya_vir,ya_loya_vir,oa_auth_vic,ya_auth_vic,oa_auth_vir,ya_auth_vir,oa_sanc_vic,ya_sanc_vic,oa_sanc_vir,ya_sanc_vir,oa_fare_vic,ya_fare_vic,oa_fare_vir,ya_fare_vir,oa_care,oa_loya,oa_auth,oa_sanc,oa_fare,oa_virtue,oa_vice,ya_care,ya_loya,ya_auth,ya_sanc,ya_fare,ya_virtue,ya_vice,ya_diff,ya_sum
2005,0.32801607,0.20284906,-0.024065454,0.076668434,0.58613247,0.35308677,0.18230268,0.3494318,0.0746187,0.06349677,-0.19726722,-0.14307281,0.44464692,0.20093745,0.3585595,0.40788922,0.13501589,0.14286825,-0.18768746,0.005051218,-0.35208154,-0.40382978,-0.27188593,-0.086087435,-0.32270336,0.02636841,0.313686,-0.12618062,-0.0036549568,-0.20656958,0.20695177,-0.13781703,0.14637843,0.2582285,-0.11185008,0.40460694
2006,0.37781852,0.21972781,-0.068909355,0.024596829,0.4400216,0.23582436,0.16191013,0.3305766,0.16779515,0.1442873,-0.19938874,-0.17474535,0.5141129,0.30444497,0.33658993,0.41953033,0.13477182,0.08040644,-0.14855906,-0.030719787,-0.44672787,-0.27811146,-0.3671839,-0.17752296,-0.2833309,0.016328579,0.326904,-0.19513099,0.09475224,-0.31903267,0.11508536,-0.11112623,0.12185812,0.23745207,-0.115593955,0.3593102
2007,0.3642246,0.20098224,-0.061960526,0.046057634,0.49182162,0.3839448,0.067604735,0.32761225,0.110238925,0.17809057,-0.14504008,-0.13453849,0.48210746,0.2446566,0.3296041,0.4430418,0.16349474,0.13562575,-0.17137282,-0.012019202,-0.42618513,-0.42421687,-0.255279,-0.15250337,-0.33486754,0.003767082,0.32237747,-0.1549246,-0.05633256,-0.31262904,0.19838521,-0.14764495,0.122959785,0.27252024,-0.14956045,0.39548004
2008,0.27961046,0.15428844,0.008332439,0.07286604,0.3439815,0.21846038,0.120291315,0.30367,0.24249624,0.22419128,-0.19163722,-0.14950244,0.4177864,0.22792557,0.29330403,0.38352427,0.1997789,0.10957176,-0.12207429,0.022274338,-0.27127802,-0.22369018,-0.43413347,-0.12448236,-0.3218532,0.021643255,0.2967307,-0.0814224,0.08520961,-0.3736937,0.1555987,-0.087297425,0.12552057,0.21306984,-0.08754927,0.3385904
2009,0.33425778,0.18686177,-0.050323837,0.03393323,0.44646055,0.26100975,0.13859226,0.29791388,0.08155824,0.06800805,-0.09465149,-0.09220369,0.3025365,0.14162621,0.32270518,0.3885445,0.14594018,0.070852146,-0.15938506,-0.022581832,-0.38458163,-0.3078683,-0.17620973,0.020168692,-0.30532524,0.03138741,0.26215065,-0.15292853,0.036904126,-0.16021174,0.24691829,-0.093433976,0.12403306,0.19580309,-0.07177003,0.31983614
2010,0.33738694,0.19328953,0.0010679066,0.09026187,0.45812988,0.31881025,0.16168556,0.33803415,0.05659666,0.10912344,-0.11917229,-0.06192325,0.37089762,0.22653536,0.26377878,0.35975507,0.16150472,0.13985215,-0.12893482,-0.004830951,-0.33631903,-0.29644433,-0.17576894,-0.107118845,-0.29043955,0.035685025,0.27690318,-0.103027664,0.019223899,-0.17104669,0.1332197,-0.14468311,0.14716373,0.24095677,-0.093793035,0.3881205
2011,0.27345067,0.12437951,-0.053845644,0.051317398,0.4522007,0.28608596,0.16887778,0.35647434,-0.013648134,0.023454215,-0.118330434,-0.05536643,0.34525824,0.2133447,0.30117917,0.39363235,0.14495191,0.10177378,-0.16124526,0.008264419,-0.32729632,-0.28332293,-0.1046823,-0.044079065,-0.30619717,0.027327126,0.24044268,-0.07306211,0.07038838,-0.078820646,0.18028766,-0.09350936,0.15386663,0.20020647,-0.04633984,0.3540731
2012,0.2674269,0.12115994,-0.06404709,0.05908377,0.32173946,0.28024617,0.11223594,0.31271443,0.022621006,0.029557005,-0.15996729,-0.101847194,0.4817267,0.24971075,0.25100935,0.3204921,0.13554475,0.115890555,-0.20271274,-0.011367314,-0.331474,-0.20950353,-0.1825883,-0.23071736,-0.3382575,-0.012696368,0.24581179,-0.06207617,0.03246826,-0.13140419,0.070781335,-0.12725787,0.11521862,0.18638398,-0.07116536,0.3016026
2013,0.26215982,0.17244315,0.025070405,0.12099524,0.46687412,0.2784346,0.1831538,0.35369706,-0.0073761716,0.098881885,-0.1451903,-0.04349748,0.29264605,0.1932541,0.37619328,0.40269744,0.09749978,0.15450789,-0.1586553,0.029772496,-0.23708943,-0.2837203,-0.13781413,0.083547235,-0.25615507,0.056114376,0.2223607,-0.051447913,0.07526246,-0.14237937,0.20944335,-0.12473539,0.17446975,0.22739929,-0.052929536,0.40186906
2014,0.22245285,0.117599964,-0.036672637,0.097127125,0.45010203,0.2733767,0.17146975,0.34524018,0.0067011043,0.06452834,-0.14270818,-0.11695683,0.25544965,0.10455558,0.29339296,0.33838534,0.07692021,0.095083766,-0.19894683,0.016384223,-0.25912547,-0.27863228,-0.1494093,0.037943304,-0.27586704,0.017307008,0.20232515,-0.02047284,0.07186347,-0.18148518,0.23382977,-0.078699544,0.14194164,0.18420772,-0.042266086,0.32614934
2015,0.31763268,0.17238283,0.0057389215,0.12988687,0.4810236,0.270242,0.19343427,0.37308416,0.035567593,0.055425465,-0.13410786,-0.040429592,0.3866077,0.2147489,0.31735054,0.3922064,0.0879107,0.07087274,-0.16570695,0.015242249,-0.31189376,-0.28758934,-0.16967545,-0.06925717,-0.25361764,0.043341782,0.26174846,-0.042495966,0.10284215,-0.09585506,0.1774575,-0.05563049,0.17723739,0.2107826,-0.03354521,0.38801998
2016,0.287659,0.15762623,-0.04216546,0.08952236,0.42649192,0.24407077,0.18469943,0.35187626,-0.17840354,-0.096809015,-0.12152408,-0.06823545,0.3536717,0.14167126,0.30496418,0.33446917,0.0072647333,0.11832382,-0.19602434,-0.0058560297,-0.32982445,-0.24179249,0.05687946,-0.048707515,-0.20328908,0.025989946,0.17933676,-0.068103865,0.10780549,0.028573565,0.19279791,-0.12417985,0.14774595,0.16522916,-0.017483205,0.3129751
2017,0.3708307,0.19729389,-0.056289926,0.13807441,0.5077977,0.28290528,0.17581534,0.39660543,-0.09912583,-0.10667162,-0.13298772,-0.09561302,0.3921497,0.11070757,0.2758978,0.33874214,0.12240642,0.16401073,-0.23776156,-0.012328077,-0.42712063,-0.33198237,-0.03386189,-0.116251886,-0.36016798,0.0049347878,0.25881177,-0.05921948,0.11370015,0.011058599,0.22803456,-0.1763388,0.1568827,0.19267392,-0.03579122,0.34955662
2018,0.31364742,0.14383192,-0.11464456,0.109937906,0.49493665,0.34321812,0.06617352,0.33505023,0.08201462,0.013724549,-0.12296579,-0.042341597,0.3871708,0.095130265,0.31539893,0.35214192,0.16050927,0.043369487,-0.20237151,-0.0006617401,-0.42829198,-0.42876312,-0.2049804,-0.07177186,-0.36288077,-0.011681879,0.28765577,-0.033894017,-0.008167893,-0.056066148,0.25701165,-0.044031225,0.13671671,0.18903518,-0.05231847,0.3257519
2019,0.27540413,0.08461616,-0.09382166,0.06401734,0.43855608,0.17225556,0.058299836,0.33090723,-0.106860906,-0.0729516,-0.1104105,-0.09956059,0.44321316,0.046551142,0.19899847,0.2606516,0.14048997,0.053098023,-0.16160405,0.0040052626,-0.3692258,-0.38025624,-0.0035495907,-0.2442147,-0.302094,-0.02170758,0.23816049,-0.020598821,0.15865166,-0.026608989,0.21410045,-0.049092762,0.10305344,0.120354235,-0.017300792,0.22340769
2020,0.15791976,-0.008466714,-0.0692097,0.12669162,0.22527075,0.07775115,0.067258716,0.33994973,-0.018035159,-0.05850431,-0.12375865,-0.08289827,0.22564447,0.03939554,0.2714041,0.37843287,0.059277106,0.105392426,-0.15197484,-0.035419323,-0.22712946,-0.15801203,-0.10572349,0.04575962,-0.21125194,-0.0012560785,0.13001539,0.13515835,0.26219857,-0.024393957,0.33903733,-0.14081174,0.13233589,0.06347314,0.06886274,0.19580904
2021,0.24764335,0.0057371743,-0.11788638,0.044220466,0.28969103,0.09388464,0.051344544,0.34413204,0.022815704,-0.031170959,-0.13422848,-0.15224555,0.4594038,0.0898226,0.19253117,0.3072446,0.14294577,0.033523105,-0.15643494,-0.0968063,-0.36552972,-0.23834649,-0.15704419,-0.26687264,-0.29938072,-0.03293482,0.23249993,0.038483292,0.2502474,-0.121074595,0.21742201,-0.1303294,0.08298162,0.08024793,0.0027336925,0.16322955
