year,old_competent,young_competent,old_warm,young_warm,old_incompetent,young_incompetent,old_unwarm,young_unwarm
2009,0.06645245,0.31061018,0.42648992,0.48802924,0.3773033,0.23726651,0.51799273,0.352309
2010,0.026423857,0.29867882,0.41836512,0.50239384,0.31448072,0.20086725,0.42733514,0.2826445
2011,0.04333833,0.34433696,0.42674142,0.50100017,0.24125044,0.099760965,0.38805735,0.25491324
2012,-0.04964032,0.28398457,0.41194645,0.4935477,0.2045492,0.15530115,0.41249987,0.23626778
2013,0.07630018,0.34195685,0.48957404,0.5159557,0.31613052,0.25007254,0.4453637,0.31632075
2014,0.029915716,0.31970978,0.399875,0.48557425,0.38161302,0.26001635,0.43836322,0.288428
2015,0.047127366,0.3686754,0.42670512,0.53615177,0.37063056,0.24598643,0.497824,0.28821802
2016,0.051950656,0.33836412,0.4203747,0.51381016,0.2977207,0.16956677,0.38378447,0.20610175
2017,0.0124221705,0.3029629,0.42860448,0.5385021,0.3711478,0.20855792,0.5237904,0.29461646
2018,0.033879094,0.33367777,0.41627473,0.5173613,0.41293848,0.21056217,0.48648593,0.21715042
2019,-0.028265938,0.2986942,0.33575642,0.46345428,0.31248915,0.114735305,0.30870673,0.13928163
2020,-0.019646809,0.26571596,0.4279644,0.5464877,0.33779368,0.15597308,0.29053795,0.15168136
2021,0.01717207,0.27272344,0.4169643,0.5085737,0.43263197,0.12836169,0.3018216,0.09862852
