year,lower,upper,mean
1950,0.02492474764585495,0.05782034881412983,0.04225442
1951,0.009746231883764268,0.040210430696606625,0.025403928
1952,0.043279392272233964,0.07677089124917984,0.060553085
1953,0.04113410748541355,0.08358613848686218,0.062408514
1954,0.04385692309588194,0.08825163878500461,0.06607647
1955,0.06882397755980492,0.11837373822927474,0.094514966
1956,0.043861708231270315,0.0876438997685909,0.06594939
1957,0.034764614515006544,0.07180775478482244,0.053307112
1958,0.018781943991780282,0.050512438639998436,0.03492527
1959,0.029194421879947186,0.06583923436701297,0.047787894
1960,0.03083140179514885,0.07179821841418743,0.051886965
1961,0.015935850702226164,0.05690652281045912,0.03653743
1962,0.02380518279969692,0.060598078742623324,0.042692125
1963,0.049433513544499874,0.09098085761070251,0.07101828
1964,0.03469069935381412,0.0789088737219572,0.056865815
1965,0.015448537468910218,0.05272073224186896,0.03435871
1966,0.030153361335396766,0.0661671083420515,0.047752697
1967,0.035647057369351386,0.06681610941886901,0.051739126
1968,-0.021577810496091844,0.00805644579231738,-0.0068606054
1969,0.03519765064120293,0.07145785167813301,0.052700173
1970,-0.017740094289183616,0.0078507412225008,-0.0049761655
1971,0.037806089594960214,0.0777447696775198,0.058029342
1972,0.040144897624850275,0.07499930150806904,0.05784775
1973,0.059362242370843886,0.10256943888962268,0.0803514
1974,0.031688325479626654,0.06801477707922458,0.050048262
1975,0.025670533441007136,0.06336373761296273,0.04395212
1976,0.030670297890901567,0.0637037206441164,0.04675075
1977,0.03773828037083149,0.07328816466033458,0.05562041
1978,0.04467308223247528,0.08346009403467178,0.0636384
1979,0.0320999588817358,0.0690903726965189,0.050631464
1980,0.022659166529774667,0.06161050759255886,0.04207582
1981,0.021041442453861237,0.05965858697891235,0.04003905
1982,0.024203487485647202,0.06301927529275417,0.0431381
1983,0.026899146661162377,0.06518148221075534,0.046125855
1984,0.020632697269320488,0.06203986741602421,0.041249644
1985,0.04513631463050842,0.08719860762357712,0.066593245
1986,0.02363665625452995,0.061584278196096416,0.04303156
1987,0.056891920045018196,0.09776059202849866,0.077343225
1988,0.0377560418099165,0.06981343142688275,0.053742263
1989,0.03169754706323147,0.07441067732870578,0.053139534
1990,0.026127488166093827,0.06425716876983642,0.045243606
1991,0.03333902545273304,0.07274894341826438,0.053419534
1992,0.02169969342648983,0.050951503217220306,0.03594509
1993,0.02359123378992081,0.05688638314604759,0.04020646
1994,0.04090354703366757,0.07462724298238754,0.05834521
1995,0.04606171995401383,0.08587086163461208,0.06604991
1996,0.027179351449012755,0.06535830684006214,0.04644524
1997,0.021580517664551737,0.055714347586035724,0.038804214
1998,0.04215424321591854,0.07770403958857058,0.06050498
1999,0.02898109331727028,0.05765494368970394,0.043436456
2000,0.04104014933109283,0.08019023723900318,0.06099775
2001,0.0364560455083847,0.07949877120554447,0.05836342
2002,0.03455664739012718,0.07012353092432022,0.052325092
2003,0.027210341393947603,0.0654369492083788,0.046516962
2004,0.03100207094103098,0.07073779683560133,0.050636362
2005,0.03580647818744183,0.0818350713700056,0.059253152
2006,0.036423186771571636,0.07998860627412796,0.05892746
2007,0.028122408501803874,0.07119673229753971,0.05058553
2008,0.022551199607551097,0.061038675531744954,0.04338964
2009,0.015597325563430787,0.04923893325030803,0.033337753
2010,0.016538689285516738,0.055973099917173384,0.03701879
2011,0.032824356108903885,0.0766662072390318,0.05561691
2012,0.033324924483895305,0.08360048793256282,0.058977406
2013,0.028211299702525137,0.07167627401649952,0.050281465
2014,0.028824230656027794,0.07567441761493682,0.05266095
2015,0.035672872327268124,0.08324223235249519,0.06047977
2016,0.04095089212059975,0.09292561523616313,0.06746185
2017,0.04094249829649925,0.0835432220250368,0.06266997
2018,0.044481254927814004,0.09397136270999908,0.06998152
2019,0.038753350079059605,0.09022824931889772,0.064274505
2020,0.035692852549254896,0.08043012991547584,0.058552545
2021,0.04107455145567655,0.08199256658554077,0.06252168
