year,mean_similarity,95percent_lower,95percent_upper
1950,0.09247419,0.07361260056495667,0.10959908366203308
1951,0.05614957,0.03939908742904663,0.07085904479026794
1952,0.12027505,0.10063514113426208,0.1384027898311615
1953,0.120888524,0.09741392731666565,0.14300180971622467
1954,0.12205378,0.09710638225078583,0.14457914233207703
1955,0.17766964,0.1445663720369339,0.2058318555355072
1956,0.14128831,0.11745469272136688,0.16462838649749756
1957,0.1208648,0.10166041553020477,0.1402500569820404
1958,0.0838533,0.06693923473358154,0.1007680743932724
1959,0.1073291,0.08542531728744507,0.12830723822116852
1960,0.10761833,0.08648081123828888,0.1284293383359909
1961,0.090934,0.07050219178199768,0.11082305014133453
1962,0.08054774,0.06134572625160217,0.09810391068458557
1963,0.13180941,0.10710369050502777,0.15323621034622192
1964,0.104224324,0.08189648389816284,0.12538468837738037
1965,0.07320374,0.052978307008743286,0.09248818457126617
1966,0.08907861,0.06846120953559875,0.1097867488861084
1967,0.076067396,0.057660460472106934,0.09338340163230896
1968,0.0014984494,-0.016019582748413086,0.01817263662815094
1969,0.07376289,0.053505927324295044,0.09293954074382782
1970,-0.0017561065,-0.017642512917518616,0.012686207890510559
1971,0.088398,0.06527505815029144,0.10946232080459595
1972,0.09128408,0.07139919698238373,0.11001460254192352
1973,0.13133296,0.10684125125408173,0.15487894415855408
1974,0.07868691,0.05919128656387329,0.09735098481178284
1975,0.059434276,0.03839230537414551,0.08021727204322815
1976,0.08349227,0.06407620012760162,0.10154226422309875
1977,0.08581902,0.06642836332321167,0.1047392189502716
1978,0.104075894,0.08443738520145416,0.12267699837684631
1979,0.10306847,0.0834791362285614,0.12209320068359375
1980,0.090166986,0.07119959592819214,0.10834372043609619
1981,0.09474647,0.0743979811668396,0.11489665508270264
1982,0.099121034,0.07885850965976715,0.1194005012512207
1983,0.0969069,0.07499633729457855,0.11678791046142578
1984,0.08381988,0.062864288687706,0.10417085886001587
1985,0.1364108,0.11370104551315308,0.15641599893569946
1986,0.09310149,0.07243895530700684,0.11217567324638367
1987,0.15216029,0.12913867831230164,0.17379140853881836
1988,0.10705588,0.08838734030723572,0.12614843249320984
1989,0.111830235,0.0890662670135498,0.13254350423812866
1990,0.0928502,0.07213622331619263,0.11386755108833313
1991,0.09683947,0.07715916633605957,0.1150156557559967
1992,0.075475976,0.05871957540512085,0.09199145436286926
1993,0.079809815,0.0625724047422409,0.09767547249794006
1994,0.10813656,0.08761626482009888,0.12740156054496765
1995,0.1237015,0.10114257037639618,0.14602166414260864
1996,0.07264753,0.05385476350784302,0.09096184372901917
1997,0.07938677,0.06147128343582153,0.09665191173553467
1998,0.10874272,0.08871515095233917,0.1274842619895935
1999,0.06810142,0.051915764808654785,0.08308467268943787
2000,0.11007506,0.0894881933927536,0.130548894405365
2001,0.100562625,0.08026120066642761,0.12082856893539429
2002,0.084229134,0.06633052229881287,0.1021830141544342
2003,0.08953257,0.06845542788505554,0.10843977332115173
2004,0.09887506,0.0764753669500351,0.12062437832355499
2005,0.11999835,0.09466186165809631,0.14372548460960388
2006,0.11490731,0.09066733717918396,0.13752475380897522
2007,0.108991735,0.08567860722541809,0.1299000084400177
2008,0.09700323,0.0757509171962738,0.11652985215187073
2009,0.08667355,0.06749141216278076,0.10664123296737671
2010,0.08929186,0.06780911982059479,0.10943843424320221
2011,0.115472056,0.08993382751941681,0.13975468277931213
2012,0.110505484,0.08772507309913635,0.13268685340881348
2013,0.10042358,0.07852354645729065,0.12119090557098389
2014,0.09152182,0.06843681633472443,0.11370427906513214
2015,0.10701234,0.08401162922382355,0.13085372745990753
2016,0.12842117,0.10218708217144012,0.15403853356838226
2017,0.106900506,0.08479021489620209,0.12862609326839447
2018,0.123931065,0.09779956936836243,0.1467590183019638
2019,0.11591793,0.08886153995990753,0.14253202080726624
2020,0.12008481,0.09377622604370117,0.144818976521492
2021,0.10237801,0.07851836085319519,0.1234588474035263
