year,lower,upper,mean
1950,0.011974452808499337,0.07129321321845054,0.041650925
1951,-0.0017778314650058746,0.05246957167983055,0.025290381
1952,0.030239042825996876,0.09064641669392585,0.060186036
1953,0.022789932414889337,0.09916593395173548,0.06179117
1954,0.024971506372094155,0.1022139698266983,0.065796986
1955,0.05000089835375547,0.13841334097087382,0.0938992
1956,0.02816157117486,0.10416125282645224,0.06633352
1957,0.02092571072280407,0.08947595749050377,0.05352974
1958,0.007309884577989578,0.061910695210099204,0.035169646
1959,0.014622635208070278,0.08214962519705295,0.047767196
1960,0.01624508686363697,0.09071056768298148,0.052229587
1961,-0.0005092920735478393,0.07208056636154651,0.03654037
1962,0.009513811767101287,0.07726448103785515,0.04283568
1963,0.03421725369989872,0.10741009302437306,0.07084453
1964,0.018340706825256348,0.09612673074007035,0.05670882
1965,-0.0004576420411467549,0.068075405433774,0.034134544
1966,0.01256801001727581,0.08122680634260177,0.047776643
1967,0.025651338696479797,0.0783468447625637,0.05162081
1968,-0.0340934582054615,0.020654763653874395,-0.0074106306
1969,0.02018735557794571,0.08389019146561622,0.05257393
1970,-0.026328421384096145,0.018156771734356876,-0.0047504576
1971,0.02091154605150223,0.09465263746678829,0.057668626
1972,0.025574968196451664,0.08889583796262741,0.057691798
1973,0.040289182029664514,0.11941565573215483,0.07995262
1974,0.01574813537299633,0.08219884410500526,0.04987097
1975,0.010049449279904366,0.0771603312343359,0.043732643
1976,0.017650150693953037,0.07601583674550055,0.04671581
1977,0.02417023554444313,0.08562528789043425,0.055670723
1978,0.03173102214932442,0.09666481465101241,0.06378242
1979,0.018240005150437357,0.08351394683122633,0.051424317
1980,0.009489059913903475,0.07604159414768219,0.042208776
1981,0.0036013169214129453,0.07512886077165604,0.04048694
1982,0.008098598383367062,0.07591750435531137,0.043126512
1983,0.010494250617921353,0.08041818030178545,0.046456076
1984,0.0034326538443565373,0.07935665659606457,0.04151239
1985,0.028308650106191637,0.10035736002027988,0.066693835
1986,0.009532018005847931,0.07677488811314107,0.043440856
1987,0.03972350675612688,0.11470095254480837,0.07749054
1988,0.023009388521313668,0.08112396448850631,0.053926785
1989,0.018682802096009254,0.08797236680984495,0.05370997
1990,0.0116513691842556,0.08033999726176262,0.045489423
1991,0.017923247814178467,0.087312463670969,0.05348506
1992,0.008031071722507478,0.06147473789751529,0.03597745
1993,0.009537175670266152,0.06759726554155349,0.040119644
1994,0.02603927068412304,0.08821647204458713,0.058370553
1995,0.029147758707404138,0.10204538516700268,0.066564545
1996,0.010808468982577325,0.08060947023332118,0.046707574
1997,0.007014378905296326,0.06869733892381191,0.03906323
1998,0.025800612196326254,0.09151554629206657,0.060446825
1999,0.016536018624901772,0.06895182169973849,0.043550577
2000,0.027828924544155597,0.09471313953399658,0.061192945
2001,0.019534018263220786,0.09524947218596935,0.058296103
2002,0.019461663067340852,0.08457291834056377,0.052674554
2003,0.010834540985524655,0.08167168535292148,0.04645705
2004,0.01572551019489765,0.08525983281433581,0.050427582
2005,0.019550388865172862,0.0997743312269449,0.05958262
2006,0.02062127012759447,0.09605733901262282,0.058979463
2007,0.014250492118299008,0.08791984021663665,0.050590787
2008,0.009281490743160248,0.07335805036127567,0.043201987
2009,0.0019774643704295164,0.06338239908218382,0.03349986
2010,0.0016276376321911821,0.06852007396519183,0.037212547
2011,0.015700854873284698,0.09442800730466842,0.055642094
2012,0.014180041104555131,0.10323370024561881,0.058974072
2013,0.013777244091033937,0.0880499668419361,0.04988936
2014,0.01060952190309763,0.097269431874156,0.052757315
2015,0.020130558498203756,0.10120775513350962,0.06055858
2016,0.02115520220249891,0.1136259026825428,0.06718799
2017,0.02263177987188101,0.10304575487971306,0.06261511
2018,0.02377445213496685,0.11426152288913727,0.069739886
2019,0.016095783002674578,0.1081219010055065,0.06406024
2020,0.016792347840964793,0.09762081876397131,0.05853833
2021,0.02335295844823122,0.09894290231168269,0.062607974
