year,mean_similarity,95percent_lower,95percent_upper
1950,0.09187266,0.06469015777111053,0.11815804243087769
1951,0.05563583,0.03319714963436127,0.07680618762969971
1952,0.11987912,0.09061363339424133,0.14637108147144318
1953,0.12050395,0.08375431597232819,0.1542162001132965
1954,0.121647224,0.08370903134346008,0.15580591559410095
1955,0.17744468,0.12838870286941528,0.2189011573791504
1956,0.14134817,0.10588723421096802,0.17322099208831787
1957,0.12113858,0.08896316587924957,0.14924228191375732
1958,0.08359102,0.05868351459503174,0.10838276147842407
1959,0.10756907,0.07618191838264465,0.13561397790908813
1960,0.1087807,0.07304850220680237,0.13673853874206543
1961,0.09135896,0.06062208116054535,0.11957362294197083
1962,0.081209116,0.05256824195384979,0.10796889662742615
1963,0.13287823,0.09480974078178406,0.16504135727882385
1964,0.1039131,0.0680575966835022,0.1345718801021576
1965,0.07287151,0.042084887623786926,0.10134872794151306
1966,0.08892012,0.056587591767311096,0.1183837503194809
1967,0.0767775,0.049225881695747375,0.10248667001724243
1968,0.0019364703,-0.02268865704536438,0.027010083198547363
1969,0.07330054,0.042218416929244995,0.10239899158477783
1970,-0.001496039,-0.023776531219482422,0.020501285791397095
1971,0.08740071,0.054851874709129333,0.11946718394756317
1972,0.09020771,0.0622563511133194,0.11771905422210693
1973,0.1320635,0.09494371712207794,0.16633166372776031
1974,0.07749193,0.0487779825925827,0.10771062970161438
1975,0.059592344,0.03131967782974243,0.0883646011352539
1976,0.08337819,0.05301833152770996,0.1097320020198822
1977,0.086043514,0.05675147473812103,0.1136382520198822
1978,0.1044943,0.07549113035202026,0.1315399408340454
1979,0.1028668,0.07259753346443176,0.13128364086151123
1980,0.09014953,0.06017126142978668,0.11735478043556213
1981,0.09471429,0.0621955543756485,0.12689180672168732
1982,0.09915268,0.06877703964710236,0.12625709176063538
1983,0.09618055,0.06650948524475098,0.12406808137893677
1984,0.08378184,0.052917733788490295,0.1130414605140686
1985,0.13613816,0.10349729657173157,0.168320894241333
1986,0.09307423,0.0635758638381958,0.12023434042930603
1987,0.15297905,0.11734294891357422,0.1830202341079712
1988,0.106277525,0.0786723643541336,0.1326805055141449
1989,0.111927845,0.07564440369606018,0.14311817288398743
1990,0.09291351,0.06163477897644043,0.12241533398628235
1991,0.09695796,0.06280119717121124,0.12527647614479065
1992,0.07551226,0.05124861001968384,0.09808275103569031
1993,0.080282316,0.05260844528675079,0.10569453239440918
1994,0.10784752,0.08017610013484955,0.13371974229812622
1995,0.12472888,0.09002923965454102,0.15629896521568298
1996,0.073126025,0.044048845767974854,0.09974104166030884
1997,0.07835171,0.051256150007247925,0.10475707054138184
1998,0.10814126,0.08031459152698517,0.13726305961608887
1999,0.067507535,0.04458892345428467,0.09105649590492249
2000,0.109120555,0.07611069083213806,0.13915517926216125
2001,0.099327646,0.07057064771652222,0.12802085280418396
2002,0.08395778,0.056002795696258545,0.10923686623573303
2003,0.08902371,0.06210748851299286,0.1177072823047638
2004,0.099284016,0.06360159814357758,0.13075648248195648
2005,0.12029573,0.08473621308803558,0.15229573845863342
2006,0.113979824,0.07973732054233551,0.14562231302261353
2007,0.10920975,0.07240743935108185,0.1419132798910141
2008,0.097185284,0.0659136027097702,0.12740583717823029
2009,0.087343045,0.056760743260383606,0.11532145738601685
2010,0.08988008,0.058532342314720154,0.1186264157295227
2011,0.11583172,0.08017423748970032,0.15020030736923218
2012,0.10917463,0.07202750444412231,0.14263039827346802
2013,0.10007438,0.06640703976154327,0.1321680247783661
2014,0.09147717,0.05629506707191467,0.12446004152297974
2015,0.10696909,0.07059969007968903,0.13738833367824554
2016,0.13008367,0.09080705046653748,0.16579145193099976
2017,0.10756718,0.07299269735813141,0.13869699835777283
2018,0.122362725,0.08260022103786469,0.15822461247444153
2019,0.11551951,0.0750979483127594,0.15152186155319214
2020,0.11938069,0.07956232130527496,0.15269096195697784
2021,0.1019749,0.069210946559906,0.13200420141220093
