year,mean_similarity,95percent_lower,95percent_upper
1950,0.09163572,0.06987364590167999,0.11121636629104614
1951,0.055969466,0.038877829909324646,0.07271656394004822
1952,0.12005271,0.0978703647851944,0.13883942365646362
1953,0.120084874,0.09416899085044861,0.14424708485603333
1954,0.12261716,0.0941016674041748,0.14850696921348572
1955,0.1786476,0.1464373767375946,0.21065890789031982
1956,0.1412965,0.11464908719062805,0.1639687418937683
1957,0.12034556,0.09761661291122437,0.14155498147010803
1958,0.084382884,0.06547653675079346,0.10271264612674713
1959,0.10690829,0.08435073494911194,0.12663063406944275
1960,0.10832061,0.08480219542980194,0.1315787136554718
1961,0.091556944,0.06987728178501129,0.11238372325897217
1962,0.080537125,0.05875134468078613,0.10201236605644226
1963,0.13188697,0.105740487575531,0.15579576790332794
1964,0.10473153,0.08237805962562561,0.12800809741020203
1965,0.07267407,0.051352620124816895,0.09410262107849121
1966,0.08924172,0.06471481919288635,0.11064046621322632
1967,0.07642656,0.05655667185783386,0.09509450197219849
1968,0.0013111032,-0.018123283982276917,0.019086480140686035
1969,0.074019656,0.051721811294555664,0.0950881689786911
1970,-0.0011856415,-0.017689868807792664,0.01419714093208313
1971,0.088238314,0.06476597487926483,0.11233052611351013
1972,0.09157166,0.06936623156070709,0.11119602620601654
1973,0.13126986,0.10213801264762878,0.15661761164665222
1974,0.07808387,0.055628299713134766,0.09967771172523499
1975,0.059748035,0.03846608102321625,0.07963700592517853
1976,0.08391613,0.06267471611499786,0.10395011305809021
1977,0.08521274,0.06306621432304382,0.1060132086277008
1978,0.10416128,0.08415904641151428,0.12440657615661621
1979,0.10171841,0.07898896932601929,0.12349122762680054
1980,0.09015737,0.06810624897480011,0.10995861887931824
1981,0.09492664,0.07168284058570862,0.11720088124275208
1982,0.098468274,0.07607564330101013,0.12118573486804962
1983,0.0973301,0.07487732172012329,0.11754873394966125
1984,0.08471615,0.06243692338466644,0.10646858811378479
1985,0.1358846,0.11225835978984833,0.16014373302459717
1986,0.09276362,0.07051029801368713,0.1138019859790802
1987,0.15262167,0.12700071930885315,0.1761743426322937
1988,0.10731394,0.08867201209068298,0.12577605247497559
1989,0.1114161,0.08704270422458649,0.13520285487174988
1990,0.09215417,0.06999839842319489,0.11245453357696533
1991,0.09685027,0.07432432472705841,0.11837607622146606
1992,0.07529505,0.05754446983337402,0.09304565191268921
1993,0.07984474,0.06104254722595215,0.09862414002418518
1994,0.107978776,0.08783230185508728,0.12746864557266235
1995,0.12445644,0.10013963282108307,0.1476825475692749
1996,0.07229123,0.050282806158065796,0.09108871221542358
1997,0.07868917,0.056688129901885986,0.09665730595588684
1998,0.109039396,0.08953633904457092,0.12866272032260895
1999,0.06802666,0.05075913667678833,0.08423951268196106
2000,0.10912212,0.08776113390922546,0.13019195199012756
2001,0.09994646,0.0766613632440567,0.12152501940727234
2002,0.083764896,0.062469542026519775,0.10342004895210266
2003,0.08935102,0.06683756411075592,0.11096054315567017
2004,0.09888067,0.07366324961185455,0.12386418879032135
2005,0.119714715,0.09313446283340454,0.1442548930644989
2006,0.11477194,0.08849003911018372,0.1387745589017868
2007,0.10944625,0.08440083265304565,0.1330367773771286
2008,0.09711314,0.07473623752593994,0.11896540224552155
2009,0.08702389,0.06432154774665833,0.10780403017997742
2010,0.088863134,0.06522911787033081,0.11196973919868469
2011,0.11600001,0.08831402659416199,0.14105848968029022
2012,0.10979284,0.08342441916465759,0.13436774909496307
2013,0.100069195,0.07477784156799316,0.12397560477256775
2014,0.09117281,0.06513656675815582,0.11680403351783752
2015,0.10624656,0.0826663225889206,0.1298741102218628
2016,0.12894389,0.09964777529239655,0.15656140446662903
2017,0.10717437,0.08376435935497284,0.1299273669719696
2018,0.12428817,0.09530243277549744,0.1498936265707016
2019,0.11644492,0.0885646790266037,0.14431977272033691
2020,0.119178966,0.09018473327159882,0.14395566284656525
2021,0.102563895,0.07874175906181335,0.12538161873817444
