year,mean_similarity,95percent_lower,95percent_upper
1950,0.0919249,0.06390577554702759,0.1190643310546875
1951,0.055615596,0.032512933015823364,0.078148752450943
1952,0.11921956,0.08768922090530396,0.14726635813713074
1953,0.12007307,0.08666782081127167,0.15251728892326355
1954,0.1230618,0.08121153712272644,0.15798717737197876
1955,0.17901035,0.13487175107002258,0.21768417954444885
1956,0.14197272,0.10486096143722534,0.1772814691066742
1957,0.11992683,0.08891601860523224,0.15033173561096191
1958,0.08444636,0.05902160704135895,0.10680566728115082
1959,0.10733801,0.07515849173069,0.1353529989719391
1960,0.10774687,0.07473838329315186,0.14067693054676056
1961,0.091206074,0.0586155503988266,0.11994439363479614
1962,0.07947256,0.04903852939605713,0.10718855261802673
1963,0.13281186,0.09641776978969574,0.16427135467529297
1964,0.10416055,0.07238994538784027,0.13619160652160645
1965,0.07294459,0.04206456243991852,0.1038227528333664
1966,0.088847235,0.05680611729621887,0.1219589114189148
1967,0.07639042,0.047983333468437195,0.10354259610176086
1968,0.0018597902,-0.023260608315467834,0.027003571391105652
1969,0.074155085,0.04310368001461029,0.10347524285316467
1970,-0.0010174925,-0.023739472031593323,0.020166724920272827
1971,0.086823754,0.050867557525634766,0.11945046484470367
1972,0.091750816,0.06349880993366241,0.11876294016838074
1973,0.13138685,0.09289626777172089,0.166277214884758
1974,0.07833644,0.04652510583400726,0.10704466700553894
1975,0.059925176,0.02840222418308258,0.08732004463672638
1976,0.08390276,0.05425232648849487,0.11191105842590332
1977,0.08543039,0.055221110582351685,0.1104392409324646
1978,0.10378225,0.07436487078666687,0.12941187620162964
1979,0.10223186,0.07067981362342834,0.13091778755187988
1980,0.090888515,0.060125961899757385,0.12004610896110535
1981,0.09446907,0.06290504336357117,0.1253012865781784
1982,0.09961527,0.07010312378406525,0.1265197992324829
1983,0.096305504,0.062284454703330994,0.12537920475006104
1984,0.083915375,0.05223363637924194,0.11701840162277222
1985,0.13572383,0.0984131246805191,0.1708087921142578
1986,0.09397936,0.06190675497055054,0.1226828396320343
1987,0.1524504,0.11675088107585907,0.18596714735031128
1988,0.10685119,0.0816250592470169,0.13230204582214355
1989,0.111608,0.08061963319778442,0.14232158660888672
1990,0.092288904,0.058153197169303894,0.12227943539619446
1991,0.09698938,0.06531059741973877,0.12699252367019653
1992,0.07578632,0.05000540614128113,0.09956225752830505
1993,0.07936301,0.05074287950992584,0.10375168919563293
1994,0.1073276,0.07968777418136597,0.13621222972869873
1995,0.12371855,0.0892934799194336,0.1543457806110382
1996,0.07320721,0.04258647561073303,0.09896326065063477
1997,0.07897987,0.05179068446159363,0.10751894116401672
1998,0.10887884,0.08055251836776733,0.13821564614772797
1999,0.06853983,0.04217611253261566,0.09245024621486664
2000,0.10944667,0.07721373438835144,0.14076021313667297
2001,0.09927854,0.06466564536094666,0.12927186489105225
2002,0.08345599,0.05555105209350586,0.11140081286430359
2003,0.08926664,0.05912473797798157,0.11767783761024475
2004,0.0990873,0.06323014199733734,0.1310674250125885
2005,0.11967554,0.0805123895406723,0.15393203496932983
2006,0.11548076,0.07851542532444,0.14823457598686218
2007,0.10929161,0.07607400417327881,0.13988721370697021
2008,0.09690467,0.06481683999300003,0.12881216406822205
2009,0.08688146,0.058118969202041626,0.11605378985404968
2010,0.08910869,0.05483447015285492,0.11955280601978302
2011,0.11567936,0.08067842572927475,0.14904259145259857
2012,0.1103956,0.07379113137722015,0.14463697373867035
2013,0.100332394,0.06419381499290466,0.1312676966190338
2014,0.09225433,0.05810031294822693,0.12522375583648682
2015,0.106265344,0.06888304650783539,0.14220571517944336
2016,0.1285126,0.0836290717124939,0.1683100461959839
2017,0.106964216,0.07254061102867126,0.13881012797355652
2018,0.12414557,0.08469321578741074,0.1645522117614746
2019,0.116450064,0.07337349653244019,0.15328963100910187
2020,0.12028179,0.08095237612724304,0.15704956650733948
2021,0.102015704,0.06897324323654175,0.13396811485290527
