year,lower,upper,mean
1950,0.02104390412569046,0.06325019150972366,0.042652976
1951,0.005929729714989662,0.04478756301105022,0.025495082
1952,0.03903968669474125,0.08331400081515312,0.06117031
1953,0.03691559135913849,0.0896296616643667,0.062840536
1954,0.037345783412456514,0.0930813230574131,0.066791505
1955,0.06410413309931755,0.12734275870025158,0.0953818
1956,0.03728376347571612,0.09320184811949729,0.06661618
1957,0.029667241126298906,0.07700581289827822,0.053651024
1958,0.014546517841517925,0.05487662851810455,0.035022356
1959,0.02303445842117071,0.07121147438883782,0.048141822
1960,0.025894157215952875,0.07752692066133021,0.052806634
1961,0.010833300836384297,0.0632759153842926,0.037484907
1962,0.018835703283548354,0.06818212419748305,0.043327916
1963,0.045748088508844376,0.09812956191599369,0.07193166
1964,0.02821301780641079,0.08257345296442509,0.05726941
1965,0.010275074467062951,0.05738372057676315,0.034330864
1966,0.023547911643981935,0.07139793708920479,0.04795418
1967,0.03319200538098812,0.07097956724464893,0.052320816
1968,-0.02688249312341213,0.012464909255504609,-0.0068735653
1969,0.03055381588637829,0.07475553266704082,0.052916117
1970,-0.021092620491981507,0.011312710121273979,-0.004962574
1971,0.03128723502159119,0.08395681902766228,0.05828394
1972,0.03676102943718433,0.08023069389164447,0.058329873
1973,0.05399067774415016,0.10823435708880424,0.08099988
1974,0.02734411284327507,0.07309017889201641,0.050295778
1975,0.019204999879002572,0.06667019687592983,0.04402104
1976,0.026918981783092023,0.06733608543872832,0.04698217
1977,0.03337453342974186,0.07780233100056648,0.05583405
1978,0.04078633040189743,0.08564996719360352,0.06442615
1979,0.028196405433118344,0.0746773824095726,0.05141112
1980,0.018516967259347438,0.0663961049169302,0.042631913
1981,0.015046886913478375,0.06460658982396125,0.04062445
1982,0.02015786487609148,0.06740112416446209,0.04338139
1983,0.02248302474617958,0.06955524869263172,0.04652204
1984,0.015156605839729309,0.06702339053153991,0.04173051
1985,0.04147029034793377,0.09229281097650528,0.06695635
1986,0.02057214789092541,0.0668252769857645,0.043515794
1987,0.05228751450777054,0.10346171371638775,0.07814113
1988,0.033594701625406745,0.07428213246166707,0.053958163
1989,0.02740418165922165,0.07953455261886119,0.054071974
1990,0.021463000401854514,0.07042440846562385,0.0457965
1991,0.02827802114188671,0.07843476980924606,0.05407761
1992,0.01805914007127285,0.054755667597055434,0.03606852
1993,0.0201435923576355,0.06052093915641307,0.04064758
1994,0.037345018982887265,0.08016474321484565,0.05897118
1995,0.04073321130126715,0.092529221996665,0.06701158
1996,0.02265089564025402,0.07056171521544456,0.047056038
1997,0.017683948576450347,0.05920378863811493,0.03915225
1998,0.03864209093153477,0.08164692595601082,0.060704883
1999,0.025706951320171357,0.06069492436945438,0.04360912
2000,0.03668399304151535,0.08473525010049342,0.0613543
2001,0.03245236799120903,0.08363059163093567,0.058964998
2002,0.03022006805986166,0.07512963302433491,0.052847404
2003,0.023158741369843486,0.06963283754885197,0.04709526
2004,0.026862093433737754,0.07514585703611372,0.051381364
2005,0.032038930989801886,0.08863547481596469,0.059869237
2006,0.03101081643253565,0.08681540749967097,0.059408
2007,0.02503537591546774,0.07731633484363555,0.051183306
2008,0.02148393653333187,0.06622115671634674,0.043617576
2009,0.012846832163631918,0.05478598661720752,0.033976898
2010,0.013724356330931187,0.06151655726134777,0.037679624
2011,0.029777449369430543,0.08158518783748149,0.056334656
2012,0.02863174080848694,0.08824773468077182,0.059555795
2013,0.0237105555832386,0.0766926486045122,0.05088133
2014,0.023118297941982748,0.08108604252338408,0.053664792
2015,0.03253964073956013,0.0887456253170967,0.06065756
2016,0.03626965694129467,0.0996612574905157,0.06799496
2017,0.03551552183926106,0.0896539032459259,0.063214175
2018,0.037602337449789046,0.09935347028076648,0.07043384
2019,0.03192037511616945,0.09448850378394127,0.064739116
2020,0.02883547730743885,0.08780803419649601,0.05890303
2021,0.03526869211345911,0.08648885488510132,0.06281271
