,year,pure_care_vic,pure_care_vir,pure_loya_vic,pure_loya_vir,pure_auth_vic,pure_auth_vir,pure_sanc_vic,pure_sanc_vir,pure_fare_vic,pure_fare_vir,pure_care,pure_loya,pure_auth,pure_sanc,pure_fare,pure_virtue,pure_vice,pure_diff,pure_sum,abstin_care_vic,abstin_care_vir,abstin_loya_vic,abstin_loya_vir,abstin_auth_vic,abstin_auth_vir,abstin_sanc_vic,abstin_sanc_vir,abstin_fare_vic,abstin_fare_vir,abstin_care,abstin_loya,abstin_auth,abstin_sanc,abstin_fare,abstin_virtue,abstin_vice,abstin_diff,abstin_sum,suffer_care_vic,suffer_care_vir,suffer_loya_vic,suffer_loya_vir,suffer_auth_vic,suffer_auth_vir,suffer_sanc_vic,suffer_sanc_vir,suffer_fare_vic,suffer_fare_vir,suffer_care,suffer_loya,suffer_auth,suffer_sanc,suffer_fare,suffer_virtue,suffer_vice,suffer_diff,suffer_sum,hedo_care_vic,hedo_care_vir,hedo_loya_vic,hedo_loya_vir,hedo_auth_vic,hedo_auth_vir,hedo_sanc_vic,hedo_sanc_vir,hedo_fare_vic,hedo_fare_vir,hedo_care,hedo_loya,hedo_auth,hedo_sanc,hedo_fare,hedo_virtue,hedo_vice,hedo_diff,hedo_sum,euda_care_vic,euda_care_vir,euda_loya_vic,euda_loya_vir,euda_auth_vic,euda_auth_vir,euda_sanc_vic,euda_sanc_vir,euda_fare_vic,euda_fare_vir,euda_care,euda_loya,euda_auth,euda_sanc,euda_fare,euda_virtue,euda_vice,euda_diff,euda_sum,Unnamed: 0,GDP_pc_usa,GDP_pc_chn,effort_care_vic,effort_care_vir,effort_loya_vic,effort_loya_vir,effort_auth_vic,effort_auth_vir,effort_sanc_vic,effort_sanc_vir,effort_fare_vic,effort_fare_vir,effort_care,effort_loya,effort_auth,effort_sanc,effort_fare,effort_virtue,effort_vice,effort_diff,effort_sum,effici_care_vic,effici_care_vir,effici_loya_vic,effici_loya_vir,effici_auth_vic,effici_auth_vir,effici_sanc_vic,effici_sanc_vir,effici_fare_vic,effici_fare_vir,effici_care,effici_loya,effici_auth,effici_sanc,effici_fare,effici_virtue,effici_vice,effici_diff,effici_sum,Unnamed: 0.1,tight_raw,loose_raw,effort_raw,effici_raw,individualism_raw,collectivism_raw,tight_z,loose_z,tight_m,loose_m
0,1950,0.0732638016343116,0.2701302766799927,-0.1058008223772049,0.1774285435676574,-0.0260633528232574,0.0776804387569427,0.1078516468405723,0.1469682604074478,0.1163157671689987,0.1231501102447509,0.196866475045681,0.2832293659448623,0.1037437915802002,0.0391166135668754,0.0068343430757522,0.1590715259313583,0.033113408088684,0.1259581178426742,0.1921849340200424,-0.0192534774541854,0.4158456027507782,-0.0004017949104309,0.4407114386558532,-0.0238365232944488,0.3145421147346496,0.0930312126874923,0.4808282852172851,-0.0388721674680709,0.2841824293136596,0.4350990802049637,0.4411132335662842,0.3383786380290985,0.3877970725297928,0.3230545967817306,0.3872219741344452,0.0021334499120712,0.385088524222374,0.3893554240465164,0.6501566171646118,0.2310920655727386,0.4006330668926239,0.2011133581399917,0.166091501712799,0.047779981046915,0.3193850815296173,0.3704795837402344,0.2561359405517578,-0.0412110053002834,-0.4190645515918731,-0.1995197087526321,-0.118311520665884,0.051094502210617,-0.2973469458520412,0.1618507966399192,0.3584804415702819,-0.1966296449303627,0.5203312382102012,0.4748724102973938,0.5511534810066223,0.1043260917067527,0.3696737885475158,-0.1197481229901313,0.2704038023948669,0.0939994677901268,0.4822800755500793,0.2211604416370391,0.3973042070865631,0.0762810707092285,0.2653476968407631,0.3901519253849983,0.3882806077599525,0.1761437654495239,0.4141630709171295,0.1549220576882362,0.2592410132288932,0.5690851286053658,0.035938174,0.06458758,-0.34145266,-0.081474386,-0.13056873,-0.051855758,0.06787216,-0.036698774,-0.0075647347,-0.051391996,0.028649405,0.25997826,0.07871297,-0.10457093,-0.04382726,-0.03136667,-0.075155154,0.043788485,-0.10652182,0,15240.0,799.0,-0.019253477,0.4158456,-0.0004017949,0.44071144,-0.023836523,0.3145421,0.09303121,0.4808283,-0.038872167,0.28418243,0.43509907,0.44111323,0.33837864,0.38779706,0.3230546,0.387222,0.00213345,0.38508853,0.38935545,0.035938174,0.06458758,-0.34145266,-0.081474386,-0.13056873,-0.051855758,0.06787216,-0.036698774,-0.0075647347,-0.051391996,0.028649405,0.25997826,0.07871297,-0.10457093,-0.04382726,-0.03136667,-0.075155154,0.043788485,-0.10652182,0,0.0012617653281503,0.0010375235218162,0.0006658498489437,0.0002083297727702,0.0001160006891285,0.0010950818654482,-0.724147742579492,0.6921914143978233,1261.7653281503322,1037.523521816282
1,1951,-0.0003131031990051,0.1637536287307739,-0.1774222552776336,0.0999088808894157,0.0650036931037902,0.1694907695055008,0.0071963276714086,0.1901527047157287,0.0196935050189495,0.0781540423631668,0.164066731929779,0.2773311361670494,0.1044870764017105,0.1829563770443201,0.0584605373442173,0.1402920052409172,-0.017168366536498,0.1574603717774152,0.1231236387044191,-0.1022767350077629,0.4167156219482422,-0.0791946947574615,0.3788624405860901,0.0235077440738677,0.3312693834304809,0.0811700448393821,0.4710724353790283,0.0405248478055,0.3246811628341675,0.5189923569560051,0.4580571353435516,0.3077616393566131,0.3899023905396461,0.2841563150286674,0.3845202088356018,-0.0072537586092948,0.3917739674448967,0.3772664502263069,0.6180885434150696,0.2154338806867599,0.325171560049057,0.0983839333057403,0.157167300581932,0.0481397733092308,0.2759905159473419,0.3653116822242737,0.168634682893753,-0.0717491805553436,-0.4026546627283096,-0.2267876267433166,-0.1090275272727012,0.0893211662769317,-0.2403838634490966,0.1311040177941322,0.3090105205774307,-0.1779065027832985,0.4401145383715629,0.4320960342884063,0.5870065689086914,0.1149740740656852,0.2901880443096161,-0.1182827651500701,0.2732138633728027,0.1460051536560058,0.4631665349006653,0.2286926954984665,0.3803527355194092,0.154910534620285,0.1752139702439308,0.3914966285228729,0.3171613812446594,0.1516600400209427,0.3987855494022369,0.1606970384716987,0.2380885109305381,0.5594825878739357,0.056432277,0.007332869,-0.26186818,0.02550836,-0.12507972,-0.06623343,0.03315436,-0.019375157,0.008104062,-0.013507064,-0.049099408,0.28737652,0.058846295,-0.052529518,-0.021611126,-0.013254884,-0.05785144,0.044596557,-0.07110632,1,16125.0,950.0,-0.102276735,0.41671562,-0.079194695,0.37886244,0.023507744,0.33126938,0.081170045,0.47107244,0.040524848,0.32468116,0.51899236,0.45805714,0.30776164,0.38990238,0.28415632,0.38452023,-0.00725376,0.391774,0.37726647,0.056432277,0.007332869,-0.26186818,0.02550836,-0.12507972,-0.06623343,0.03315436,-0.019375157,0.008104062,-0.013507064,-0.049099408,0.28737652,0.058846295,-0.052529518,-0.021611126,-0.013254884,-0.05785144,0.044596557,-0.07110632,1,0.0011345943399731,0.0009742217193431,0.0006562332570624,0.0002243778369353,9.804544370357674e-05,0.0009011071464101,-0.993961519119194,0.2912172264175078,1134.5943399731752,974.2217193431196
2,1952,0.1348959505558014,0.0978172793984413,-0.000303566455841,0.0083979181945323,0.2027828693389892,0.0477944575250148,0.0634768679738044,0.0984700545668602,-0.0922591760754585,0.020789198577404,-0.03707867115736,0.0087014846503734,-0.1549884118139743,0.0349931865930557,0.1130483746528625,0.0546537816524505,0.0617185890674591,-0.0070648074150085,0.1163723707199096,-0.0018011778593063,0.4005553126335144,0.0684337317943573,0.3924305737018585,0.0108839869499206,0.2918647527694702,0.098534271121025,0.511749267578125,0.007857322692871,0.3250443935394287,0.4023564904928207,0.3239968419075012,0.2809807658195495,0.4132149964570999,0.3171870708465576,0.3843288600444793,0.0367816269397735,0.3475472331047058,0.4211104869842529,0.4487152099609375,0.2437536567449569,0.2537593841552734,0.1430698037147522,0.1632771342992782,-0.0215928554534912,0.2584708333015442,0.3884024322032928,0.1873613595962524,-0.0113790296018123,-0.2049615532159805,-0.1106895804405212,-0.1848699897527694,0.1299315989017486,-0.1987403891980648,0.1484508015215397,0.2623167842626571,-0.1138659827411174,0.4107675857841968,0.3717276155948639,0.6191177368164062,0.2797558605670929,0.2832953035831451,-0.1437811553478241,0.187012568116188,0.1857818365097046,0.4721672236919403,0.1898214817047119,0.3767384588718414,0.2473901212215423,0.0035394430160522,0.3307937234640121,0.2863853871822357,0.1869169771671295,0.3876662582159042,0.1766611278057098,0.2110051304101944,0.564327386021614,-0.01651933,-0.0364855,-0.28937936,-0.13961291,-0.099234104,-0.09350853,0.052860126,-0.107138604,-0.05825413,-0.07492841,-0.01996617,0.14976645,0.0057255775,-0.15999873,-0.01667428,-0.09033479,-0.08210536,-0.008229427,-0.17244014,2,16444.0,1047.0,-0.0018011779,0.4005553,0.06843373,0.39243057,0.010883987,0.29186475,0.09853427,0.51174927,0.007857323,0.3250444,0.4023565,0.32399684,0.28098077,0.41321498,0.31718707,0.38432887,0.036781628,0.34754723,0.4211105,-0.01651933,-0.0364855,-0.28937936,-0.13961291,-0.099234104,-0.09350853,0.052860126,-0.107138604,-0.05825413,-0.07492841,-0.01996617,0.14976645,0.0057255775,-0.15999873,-0.01667428,-0.09033479,-0.08210536,-0.008229427,-0.17244014,2,0.0011579772343665,0.0011587964198784,0.0005757703883863,0.0002204779292113,0.0001149200246738,0.0009514254588579,-0.9443509347152432,1.460373360640398,1157.9772343665177,1158.7964198784491
3,1953,0.1156454980373382,0.2207754552364349,0.0647981315851211,0.0994150266051292,0.1242327243089675,0.1595627963542938,0.135503202676773,0.1878380179405212,0.123439073562622,0.0996629148721695,0.1051299571990966,0.034616895020008,0.0353300720453262,0.0523348152637481,-0.0237761586904525,0.1534508422017097,0.1127237260341644,0.0407271161675453,0.2661745682358741,0.0222489666193723,0.3969677984714508,-0.0214209463447332,0.4047048389911651,0.0222138967365026,0.2488655745983123,0.1489284634590149,0.460360437631607,0.030321042984724,0.2771158814430237,0.3747188318520784,0.4261257853358984,0.2266516778618097,0.3114319741725921,0.2467948384582996,0.3576029062271118,0.0404582846909761,0.3171446215361357,0.3980611909180879,0.5586822628974915,0.2070173472166061,0.4205638468265533,0.1633376777172088,0.191693514585495,-0.0099334716796875,0.2992241978645324,0.4162904918193817,0.241117238998413,-0.0130197554826736,-0.3516649156808853,-0.2572261691093445,-0.2016269862651825,0.1170662939548492,-0.2541369944810867,0.1527384579181671,0.3422562122344971,-0.1895177543163299,0.4949946701526642,0.4203726053237915,0.5876381993293762,0.0907370895147323,0.307434618473053,-0.1210372745990753,0.1658082902431488,0.089849516749382,0.4687793254852295,0.2624299824237823,0.3908279836177826,0.1672655940055847,0.2166975289583206,0.2868455648422241,0.3789298087358475,0.1283980011940002,0.384097683429718,0.1484703838825226,0.2356272995471954,0.5325680673122406,0.02136913,0.017750518,-0.28046557,-0.026467703,-0.051424213,-0.1596536,-0.10181433,-0.015271641,-0.053676073,-0.07458812,-0.003618611,0.25399786,-0.10822939,0.08654269,-0.020912047,-0.051646106,-0.09320221,0.041556105,-0.14484832,3,16917.0,1157.0,0.022248967,0.3969678,-0.021420946,0.40470484,0.022213897,0.24886557,0.14892846,0.46036044,0.030321043,0.27711588,0.37471884,0.4261258,0.22665168,0.31143197,0.24679483,0.3576029,0.040458284,0.3171446,0.3980612,0.02136913,0.017750518,-0.28046557,-0.026467703,-0.051424213,-0.1596536,-0.10181433,-0.015271641,-0.053676073,-0.07458812,-0.003618611,0.25399786,-0.10822939,0.08654269,-0.020912047,-0.051646106,-0.09320221,0.041556105,-0.14484832,3,0.0013728804308106,0.0010555637274628,0.0006729103122377,0.0002416880138472,0.0001261634560322,0.0011387090298342,-0.4883991185489522,0.806463939468654,1372.8804308106194,1055.5637274628818
4,1954,0.0792881026864051,0.1625658273696899,-0.0770236104726791,0.0748076662421226,0.0090226456522941,0.1454377025365829,-0.0122085809707641,0.1645538359880447,0.0849783048033714,0.0826309323310852,0.0832777246832847,0.1518312767148018,0.1364150568842888,0.1767624169588089,-0.0023473724722862,0.125999192893505,0.0168113723397254,0.1091878205537796,0.1428105652332305,-0.0082856267690658,0.3569616675376892,0.1390056312084198,0.3863031268119812,-0.0048336870968341,0.2525570392608642,0.108375646173954,0.4322273731231689,0.0438555777072906,0.2203855216503143,0.365247294306755,0.2472974956035614,0.2573907263576984,0.3238517269492149,0.1765299439430236,0.3296869456768035,0.0556235082447528,0.2740634374320507,0.3853104539215564,0.5640992522239685,0.1900810897350311,0.2748384177684784,0.1761548072099685,0.0913921743631362,0.0434719882905483,0.3070663809776306,0.38543301820755,0.1737749725580215,-0.0320933945477008,-0.3740181624889374,-0.0986836105585098,-0.0479201860725879,0.0783666372299194,-0.2058683671057224,0.1526095017790794,0.282234239578247,-0.1296247377991676,0.4348437413573265,0.3858303427696228,0.5565808415412903,0.1346897631883621,0.3282209634780884,-0.1493064761161804,0.1250773072242736,0.1112474799156189,0.4524054527282715,0.1700389385223388,0.4044550061225891,0.1707504987716674,0.1935312002897262,0.2743837833404541,0.3411579728126526,0.2344160676002502,0.3733479142189025,0.1305000096559524,0.2428479045629501,0.503847923874855,-0.0511932,-0.026483677,-0.22656377,-0.076092556,-0.15075707,-0.08347463,-0.122629166,-0.035114493,-0.031152047,-0.0969178,0.024709523,0.15047121,0.067282446,0.08751467,-0.06576575,-0.06361663,-0.11645905,0.052842416,-0.18007568,4,16512.0,1049.0,-0.008285627,0.35696167,0.13900563,0.38630313,-0.004833687,0.25255704,0.108375646,0.43222737,0.043855578,0.22038552,0.3652473,0.2472975,0.25739074,0.32385173,0.17652994,0.32968694,0.05562351,0.27406344,0.38531044,-0.0511932,-0.026483677,-0.22656377,-0.076092556,-0.15075707,-0.08347463,-0.122629166,-0.035114493,-0.031152047,-0.0969178,0.024709523,0.15047121,0.067282446,0.08751467,-0.06576575,-0.06361663,-0.11645905,0.052842416,-0.18007568,4,0.0014233665336693,0.0011932478445191,0.000818319263754,0.0002108823916667,0.0001115944214259,0.0012724631565163,-0.381284702986523,1.6785998799548671,1423.366533669375,1193.247844519101
5,1955,-0.0540041998028755,0.1032797694206237,-0.1157912239432334,0.0538518391549587,-0.0937274470925331,0.1197244375944137,0.0267309695482254,0.1188264861702919,0.0634308233857154,0.072540283203125,0.1572839692234993,0.1696430630981922,0.2134518846869468,0.0920955166220665,0.0091094598174095,0.0936445631086826,-0.0346722155809402,0.1283167786896228,0.0589723475277423,-0.1089056879281997,0.3675060272216797,-0.0211453586816787,0.4488241076469421,0.0410182848572731,0.3005261123180389,0.0677786320447921,0.5294209718704224,0.0939516052603721,0.2820176482200622,0.4764117151498794,0.4699694663286209,0.2595078274607658,0.4616423398256302,0.1880660429596901,0.3856589734554291,0.0145394951105117,0.3711194783449173,0.4001984685659409,0.4575141668319702,0.1901298016309738,0.4117045998573303,0.2186370640993118,0.0646928325295448,0.0619430132210254,0.3600287735462188,0.3882476389408111,0.0932714119553566,-0.0309526082128286,-0.2673843652009964,-0.1930675357580185,-0.0027498193085193,0.0282188653945922,-0.1242240201681852,0.1656009819358587,0.2774423569440841,-0.1118413750082254,0.4430433388799428,0.4083222150802612,0.569537341594696,0.1106538027524948,0.275736391544342,-0.0461034476757049,0.08110973238945,0.2368816435337066,0.4180684387683868,0.1342859715223312,0.2510873973369598,0.1612151265144348,0.1650825887918472,0.127213180065155,0.1811867952346801,0.1168014258146286,0.3191078603267669,0.1688080370426178,0.1502998232841491,0.4879158973693848,-0.055149082,-0.048165828,-0.23818445,-0.17995471,-0.2952124,0.0024272688,-0.11062147,-0.069198556,-0.018137168,-0.12150841,0.006983254,0.058229744,0.29763967,0.04142291,-0.10337125,-0.08328005,-0.1434609,0.06018085,-0.22674096,5,17370.0,1119.0,-0.10890569,0.36750603,-0.021145359,0.4488241,0.041018285,0.3005261,0.06777863,0.529421,0.093951605,0.28201765,0.4764117,0.46996945,0.25950783,0.46164232,0.18806604,0.38565898,0.014539495,0.3711195,0.40019846,-0.055149082,-0.048165828,-0.23818445,-0.17995471,-0.2952124,0.0024272688,-0.11062147,-0.069198556,-0.018137168,-0.12150841,0.006983254,0.058229744,0.29763967,0.04142291,-0.10337125,-0.08328005,-0.1434609,0.06018085,-0.22674096,5,0.0014290879447269,0.0010441927202987,0.0007408518183125,0.0002137798438206,0.0001237612578993,0.0011186553625284,-0.3691458060044555,0.7344362848677193,1429.087944726987,1044.1927202987565
6,1956,0.1588225364685058,0.2531038522720337,0.0057591646909713,0.043091032654047,0.124180369079113,0.1808088570833206,0.0971811413764953,0.1669715046882629,0.1612195074558258,0.155787855386734,0.0942813158035278,0.0373318679630756,0.0566284880042076,0.0697903633117675,-0.0054316520690917,0.1599526204168796,0.1094325438141822,0.0505200766026973,0.2693851642310619,0.0384489074349403,0.4443041980266571,0.0627006739377975,0.4645413756370544,0.0617267936468124,0.2651969194412231,0.1369588822126388,0.442069411277771,0.1275512278079986,0.2591365575790405,0.4058552905917167,0.4018407016992569,0.2034701257944107,0.3051105290651321,0.1315853297710418,0.3750496923923492,0.0854772970080375,0.2895723953843117,0.4605269894003868,0.5391163229942322,0.2773660719394684,0.4239115715026855,0.2396925389766693,0.1848801225423813,0.1122136265039444,0.4370613098144531,0.3806500434875488,0.1764049679040908,-0.009693156927824,-0.2617502510547638,-0.1842190325260162,-0.0726664960384368,-0.0564112663269043,-0.1860981248319149,0.2000458247959614,0.3522748589515686,-0.1522290341556072,0.5523206837475301,0.4387221932411194,0.5536578297615051,0.1641618609428405,0.376100093126297,-0.1377869248390197,0.1576001793146133,0.1342118084430694,0.4877533316612243,0.1720735281705856,0.303819477558136,0.1149356365203857,0.2119382321834564,0.2953871041536331,0.3535415232181549,0.1317459493875503,0.3757861822843552,0.154276493191719,0.2215096890926361,0.5300626754760742,-0.03100907,-0.01351776,-0.23088892,-0.13197766,-0.12794137,-0.10714711,-0.0037000813,-0.10176307,-0.055295885,-0.048956,0.01749131,0.098911256,0.020794258,-0.09806299,0.0063398853,-0.080672316,-0.08976706,0.009094745,-0.17043938,6,17397.0,1189.0,0.038448907,0.4443042,0.062700674,0.46454138,0.061726794,0.26519692,0.13695888,0.4420694,0.12755123,0.25913656,0.4058553,0.4018407,0.20347013,0.3051105,0.13158533,0.37504968,0.0854773,0.2895724,0.46052697,-0.03100907,-0.01351776,-0.23088892,-0.13197766,-0.12794137,-0.10714711,-0.0037000813,-0.10176307,-0.055295885,-0.048956,0.01749131,0.098911256,0.020794258,-0.09806299,0.0063398853,-0.080672316,-0.08976706,0.009094745,-0.17043938,6,0.0011719150458748,0.0011385083358356,0.0006234323853453,0.0001948884287675,0.0001245333230975,0.001125107363327,-0.9147796180676852,1.3318620433175083,1171.915045874879,1138.5083358356458
7,1957,0.1072678565979003,0.2780433297157287,-0.2073301523923874,0.2044220268726349,-0.0335220582783222,0.122232861816883,0.0153963789343833,0.1950148642063141,0.0637066513299942,0.1520539820194244,0.1707754731178283,0.4117521792650223,0.1557549200952053,0.1796184852719307,0.0883473306894302,0.190353412926197,-0.0108962647616863,0.2012496776878833,0.1794571481645107,0.0441203713417053,0.4324334859848022,-0.0413229241967201,0.417433500289917,0.075731560587883,0.2291586846113205,0.0433506704866886,0.3781206607818603,0.0411012694239616,0.2895642518997192,0.3883131146430969,0.4587564244866371,0.1534271240234375,0.3347699902951717,0.2484629824757576,0.3493421167135239,0.0325961895287036,0.3167459271848202,0.3819383062422276,0.561299204826355,0.2336713969707489,0.3629698753356933,0.1366150975227356,0.0307864882051944,0.0761280506849289,0.3217719197273254,0.3779149055480957,0.1793400943279266,-0.006768187507987,-0.3276278078556061,-0.2263547778129577,0.0453415624797344,0.0561429858207702,-0.1861082818359136,0.1635122526437044,0.2912335164844989,-0.1277212638407945,0.4547457691282034,0.4411134421825409,0.569521427154541,0.0568547882139682,0.2978613972663879,-0.1318997740745544,0.1225174367427825,0.1360468566417694,0.5217085480690002,0.2517427206039428,0.3900297880172729,0.1284079849720001,0.2410066090524196,0.254417210817337,0.3856616914272308,0.13828706741333,0.3803277194499969,0.1507716067135334,0.2295561127364635,0.5310993261635304,-0.08443847,-0.025354698,-0.3275556,-0.10569322,-0.18692352,-0.111963734,-0.0028621852,-0.08701223,-0.009144876,-0.011341935,0.059083775,0.22186238,0.074959785,-0.084150046,-0.0021970589,-0.068273164,-0.12218495,0.053911783,-0.19045812,7,17406.0,1195.0,0.04412037,0.4324335,-0.041322924,0.4174335,0.07573156,0.22915868,0.04335067,0.37812066,0.04110127,0.28956425,0.3883131,0.45875642,0.15342712,0.33477,0.24846298,0.3493421,0.03259619,0.3167459,0.3819383,-0.08443847,-0.025354698,-0.3275556,-0.10569322,-0.18692352,-0.111963734,-0.0028621852,-0.08701223,-0.009144876,-0.011341935,0.059083775,0.22186238,0.074959785,-0.084150046,-0.0021970589,-0.068273164,-0.12218495,0.053911783,-0.19045812,7,0.0011069043455201,0.000972474299823,0.0005063327575399,0.0001616835173759,0.0001060282535822,0.0010953445864653,-1.0527103114564276,0.2801485033207386,1106.9043455201263,972.4742998230976
8,1958,0.1170598939061164,0.2761620581150055,0.0775627493858337,0.0496910102665424,-0.0707150399684906,0.1496667712926864,0.1876683235168457,0.233376532793045,0.1506964117288589,0.1850900650024414,0.159102164208889,-0.0278717391192913,0.220381811261177,0.0457082092761993,0.0343936532735824,0.1787972874939441,0.0924544677138328,0.0863428197801113,0.271251755207777,-0.0318718031048774,0.2677037715911865,0.0390949063003063,0.2880443632602691,-0.1065339297056198,0.2200948297977447,-0.0265619792044162,0.4321720600128174,0.1174190118908882,0.2248158901929855,0.299575574696064,0.2489494569599628,0.3266287595033645,0.4587340392172336,0.1073968783020973,0.2865661829710006,-0.0016907587647438,0.2882569417357444,0.2848754242062569,0.5661582946777344,0.2007644474506378,0.3103976249694824,0.1118410900235176,0.070228487253189,0.012867908924818,0.2713892161846161,0.348210334777832,0.1064463183283805,-0.0098089855164289,-0.3653938472270965,-0.1985565349459648,-0.057360578328371,0.0768211185932159,-0.1162553038448095,0.1327749591320753,0.2649239882826805,-0.1321490291506051,0.3976989474147558,0.3523749113082886,0.5682628154754639,0.1452055722475052,0.2762340903282165,-0.1928984969854354,0.1087543219327926,0.0832665115594863,0.4290987551212311,0.0865491032600402,0.3091264069080353,0.2158879041671753,0.1310285180807113,0.3016528189182281,0.3458322435617447,0.222577303647995,0.3382952779531479,0.0948995202779769,0.2433957576751709,0.4331947982311249,-0.11750823,-0.03370232,-0.3157604,-0.23855582,-0.16615736,-0.11204861,-0.03686384,-0.11912842,-0.03964968,-0.062327206,0.08380591,0.077204585,0.054108754,-0.08226458,-0.022677526,-0.11315247,-0.13518791,0.022035442,-0.24834037,8,16946.0,1173.0,-0.031871803,0.26770377,0.039094906,0.28804436,-0.10653393,0.22009483,-0.02656198,0.43217206,0.11741901,0.22481589,0.29957557,0.24894945,0.32662874,0.45873404,0.10739688,0.28656617,-0.0016907587,0.2882569,0.28487542,-0.11750823,-0.03370232,-0.3157604,-0.23855582,-0.16615736,-0.11204861,-0.03686384,-0.11912842,-0.03964968,-0.062327206,0.08380591,0.077204585,0.054108754,-0.08226458,-0.022677526,-0.11315247,-0.13518791,0.022035442,-0.24834037,8,0.0009902046827406,0.0012792191388382,0.0005002468601159,0.0002522349862595,9.482806941568248e-05,0.0008145232067704,-1.300307481115832,2.223169996167003,990.2046827406004,1279.2191388382755
9,1959,0.079913392663002,0.2352051138877868,-0.0339693427085876,-0.0003226362168788,0.0199796333909034,0.1470622420310974,0.0346571058034896,0.1366263628005981,0.0198426526039838,0.0888618379831314,0.1552917212247848,0.0336467064917087,0.1270826086401939,0.1019692569971084,0.0690191853791475,0.121486584097147,0.0240846883505582,0.0974018957465887,0.1455712724477052,-0.0532806999981403,0.2919740676879883,0.0980864986777305,0.2655383944511413,-0.0969680547714233,0.2688170671463012,-0.0266939662396907,0.3040101826190948,0.0635305866599083,0.1948098391294479,0.3452547676861286,0.1674518957734108,0.3657851219177246,0.3307041488587856,0.1312792524695396,0.2650299102067947,-0.0030651271343231,0.2680950373411178,0.2619647830724716,0.6027421951293945,0.1906953454017639,0.3205701112747192,0.1867008656263351,0.1795026808977127,0.0673478990793228,0.3570982813835144,0.3443532884120941,0.114103190600872,-0.0286649465560913,-0.4120468497276306,-0.1338692456483841,-0.1121547818183898,-0.0127449929714202,-0.1427681371569633,0.1520864903926849,0.3148032918572426,-0.1627168014645576,0.4668897822499275,0.435157299041748,0.5230027437210083,0.1983107328414917,0.311003565788269,-0.0846463814377784,0.0972552224993705,0.169808954000473,0.4589324593544006,0.1609598696231842,0.2611082196235657,0.0878454446792602,0.1126928329467773,0.181901603937149,0.2891235053539276,0.1001483500003814,0.3302604421973228,0.1759180948138237,0.1543423473834991,0.5061785370111466,-0.16875659,-0.06898195,-0.19623217,-0.20883648,-0.14391291,-0.1525521,-0.050865397,-0.15279783,-0.08233993,-0.071651034,0.09977464,-0.012604311,-0.008639187,-0.101932436,0.0106888935,-0.13096389,-0.1284214,-0.0025424957,-0.2593853,9,17900.0,1117.0,-0.0532807,0.29197407,0.0980865,0.2655384,-0.096968055,0.26881707,-0.026693966,0.30401018,0.06353059,0.19480984,0.34525478,0.16745189,0.36578512,0.33070415,0.13127926,0.2650299,-0.0030651272,0.26809505,0.26196477,-0.16875659,-0.06898195,-0.19623217,-0.20883648,-0.14391291,-0.1525521,-0.050865397,-0.15279783,-0.08233993,-0.071651034,0.09977464,-0.012604311,-0.008639187,-0.101932436,0.0106888935,-0.13096389,-0.1284214,-0.0025424957,-0.2593853,9,0.0011798308770807,0.0013143470042014,0.0006342109473609,0.000318957292611,0.0001084425165774,0.0008595402748395,-0.897984904566528,2.445681310839836,1179.830877080704,1314.347004201407
