GDP per capita,year,tight,loose,indi,coll,old_care_vir,young_care_vir,old_fare_vir,young_fare_vir,old_loya_vir,young_loya_vir,old_auth_vir,young_auth_vir,old_sanc_vir,young_sanc_vir,old_care_vic,young_care_vic,old_fare_vic,young_fare_vic,old_loya_vic,young_loya_vic,old_auth_vic,young_auth_vic,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice,old_positive,young_positive,old_negative,young_negative,old_warm,young_warm,old_unwarm,young_unwarm,old_competent,young_competent,old_incompetent,young_incompetent,oa_care_vic,ya_care_vic,oa_care_vir,ya_care_vir,oa_loya_vic,ya_loya_vic,oa_loya_vir,ya_loya_vir,oa_auth_vic,ya_auth_vic,oa_auth_vir,ya_auth_vir,oa_sanc_vic,ya_sanc_vic,oa_sanc_vir,ya_sanc_vir,oa_fare_vic,ya_fare_vic,oa_fare_vir,ya_fare_vir,oa_care,oa_loya,oa_auth,oa_sanc,oa_fare,oa_virtue,oa_vice,ya_care,ya_loya,ya_auth,ya_sanc,ya_fare,ya_virtue,ya_vice,ya_diff,ya_sum
799.0,1950,0.0023678380115939,0.0014133978423274,0.0002111562645836,0.0009693750824908,0.077527724,0.16700353,-0.22362202,-0.04833577,-0.06285523,0.29334843,-0.05876819,0.14500506,0.18915425,0.39627746,0.14143397,0.104127154,0.14832161,0.110790804,0.11806773,0.14647982,-0.019143194,-0.09413726,0.11721296,0.18530641,0.14143397,0.14832161,0.11806773,-0.019143194,0.11721296,-0.0157126933336257,0.1011786222457885,0.104127154,0.110790804,0.14647982,-0.09413726,0.18530641,0.1906597375869751,0.0905133843421936,-0.046667963,0.20308396,0.2155185,0.10222091,0.26230606,0.39551786,0.30246562,0.2449491,0.1635989,0.35360885,0.52945185,0.36605865,0.4908189,0.30023992,-0.014116071,0.12274656,0.38635978,0.25552195,-0.032489784,0.30675903,0.03291788,-0.10179567,-0.14025724,0.014930524,0.11537191,0.0569227,0.09970752,0.2615624,0.11496862,0.01664484,-0.17956635,0.03210085,-0.50493497,-0.41884956,-0.17317513,-0.015664391,-0.29453498,-0.053344388,0.22808743,-0.17749336,0.051237077,0.1167262,0.2046397,0.01545601,0.1176016,0.15231559,-0.034713984,0.2699172
950.0,1951,0.002377664309597,0.0013693728802991,0.0001952919523318,0.0008478401311094,0.065940686,0.23318946,-0.25172114,-0.040441126,-0.0398969,0.27583286,-0.0794804,0.18116847,0.20269114,0.40426525,0.16796641,0.22238964,0.20031643,0.22141378,0.19221865,0.20190367,-0.012788899,0.015041932,0.12967141,0.21195713,0.16796641,0.20031643,0.19221865,-0.012788899,0.12967141,-0.0204933285713195,0.135476803779602,0.22238964,0.22141378,0.20190367,0.015041932,0.21195713,0.2108029842376709,0.1745412349700927,-0.067623205,0.2180051,0.16712818,0.16889967,0.2271088,0.41502434,0.3237899,0.31351137,0.11517473,0.3121956,0.4805373,0.37271744,0.5463116,0.43751907,-0.05934968,0.13233238,0.36547476,0.29496038,-0.023234995,0.22761706,0.05784431,0.05142282,-0.14983544,0.05192768,0.11469005,0.13845748,0.09366292,0.28368124,0.13240176,0.2351386,-0.1969503,0.037134044,-0.6056613,-0.38870975,-0.20767975,-0.021027133,-0.32935208,-0.067141496,0.2433445,-0.3051867,-0.067343324,0.0005048588,0.14522377,-0.19800454,0.1182429,0.25382888,-0.135586,0.37207177
1047.0,1952,0.0022666129011289,0.001429752161016,0.0001914108385487,0.0008521259222789,0.14569488,0.2461186,-0.19290176,-0.08657676,0.00051862746,0.32629055,-0.04230149,0.16148564,0.13266549,0.36573106,0.051398616,0.0047550574,0.13358898,0.09837881,0.09053158,0.1478325,-0.078156605,-0.103319176,0.05994731,0.1303204,0.051398616,0.13358898,0.09053158,-0.078156605,0.05994731,0.0087351486086845,0.0514619767665863,0.0047550574,0.09837881,0.1478325,-0.103319176,0.1303204,0.2026098251342773,0.0555935204029083,0.024591144,0.21662265,0.16228521,0.07002854,0.2984702,0.4248599,0.1982288,0.10333547,0.1495342,0.32574895,0.43713537,0.2672252,0.44213986,0.18530917,0.060572878,0.1539418,0.23938124,0.22158484,0.0025856048,0.27081695,0.11234968,-0.038957316,-0.21994868,-0.07596659,0.06238179,0.026250998,0.044719644,0.22964048,0.05318016,0.019320719,-0.1570993,0.0015624631,-0.381567,-0.23679563,-0.33229837,-0.017662145,-0.21027946,-0.053833973,0.18188655,-0.031367376,0.04923211,-0.037009273,0.20338948,-0.017758256,0.09709678,0.108814955,-0.011718176,0.20591173
1157.0,1953,0.0021503207799144,0.0014707932930296,0.0002054181364863,0.0008300026062215,0.06370863,0.23641166,-0.23077223,-0.046209484,-0.016060585,0.29260695,-0.06925612,0.11649241,0.20329392,0.40665329,0.11551437,0.036319844,0.3322466,0.18115905,0.114583805,0.13798064,-0.014784556,-0.0933334,0.020158183,0.05235961,0.11551437,0.3322466,0.114583805,-0.014784556,0.020158183,-0.0098172783851623,0.113543677330017,0.036319844,0.18115905,0.13798064,-0.0933334,0.05235961,0.2011909484863281,0.0628971517086029,-0.019257784,0.20761591,0.16658679,0.09352289,0.26566994,0.4416504,0.2992664,0.19250225,0.1522884,0.3799864,0.6294333,0.43345362,0.43204182,0.21592027,-0.004270468,0.17807278,0.3221594,0.17236052,0.012624934,0.27685526,0.079356894,0.009482883,-0.19068974,-0.031701393,0.038874507,0.019799683,0.15640464,0.3475817,0.23235153,0.12976025,-0.13293111,0.08485252,-0.4363123,-0.3095345,-0.27004665,0.11753014,-0.36528265,-0.03177235,0.22095683,-0.03784749,0.104494736,-0.041184276,0.32778203,-0.044907734,0.14471431,0.14491384,-0.00019952655,0.28962815
1049.0,1954,0.0019928445323265,0.0016114866514129,0.0002051171959495,0.0008252079824322,0.059472628,0.24075171,-0.24628225,-0.118399255,-0.09938192,0.26552105,-0.07705076,0.14502755,0.11889109,0.35303292,0.093893215,0.04026095,0.22176224,0.131859,0.09697619,0.0904551,-0.028078247,-0.11746025,0.113127366,0.11261444,0.093893215,0.22176224,0.09697619,-0.028078247,0.113127366,-0.0488702476024627,0.0995361566543579,0.04026095,0.131859,0.0904551,-0.11746025,0.11261444,0.1771867990493774,0.0515458464622497,-0.051872306,0.20754573,0.260382,0.17596805,0.23910905,0.4272902,0.38008368,0.21127856,0.11410308,0.40914798,0.5540913,0.35990712,0.48834443,0.29716435,-0.04967099,0.14977795,0.13271444,0.0672057,-0.056214496,0.21554622,-0.06508582,-0.095714465,-0.18168761,-0.07339683,0.08007439,0.047301814,0.033671156,0.24285255,0.032631114,0.034490038,-0.15453914,0.022034645,-0.5380154,-0.18892893,-0.11660179,-0.046403237,-0.18717025,-0.08168822,0.1337357,-0.1473864,0.14834052,0.022317633,0.19555074,-0.012455393,0.08343334,0.08052698,0.0029063597,0.16396031
1119.0,1955,0.0019432719136602,0.0016583807527002,0.0002070813354099,0.0008666974782564,0.04753791,0.22299376,-0.24136358,-0.1728552,-0.04989018,0.30355307,-0.05513478,0.14677149,0.16417542,0.42182562,0.14504983,0.033456713,0.11176729,-0.018312283,0.13991281,0.13441804,0.0036015287,-0.07709399,0.17480503,0.14468157,0.14504983,0.11176729,0.13991281,0.0036015287,0.17480503,-0.0269350409507751,0.1150272965431213,0.033456713,-0.018312283,0.13441804,-0.07709399,0.14468157,0.1844577550888061,0.0434300124645233,0.0127228685,0.21201822,0.22664452,0.13014483,0.282652,0.42532998,0.46134418,0.28846538,0.26243445,0.46848232,0.69029963,0.39952302,0.46376675,0.22851378,-0.040996093,0.12975973,0.34526038,0.19926497,-0.056493767,0.2698294,-0.07279526,-0.090297885,-0.18552619,-0.16029055,0.15802418,0.1491208,0.07643315,0.29205108,-0.03800707,-0.09159523,-0.18426678,-0.081814066,-0.5047628,-0.40175414,-0.112730935,-0.081591025,-0.14625971,-0.078169934,0.17124979,-0.09875405,0.07056442,-0.06999267,0.14293028,0.009781167,0.06550697,0.1233778,-0.057870828,0.18888476
1189.0,1956,0.0020217791285241,0.0017135152264365,0.0001936896075628,0.0008637386862022,0.076694295,0.2048883,-0.26227403,-0.15865982,-0.03993193,0.24722147,0.037292447,0.16676813,0.21711338,0.3894564,0.017700162,-0.06305444,0.15612519,0.08432619,0.10995332,0.082806304,-0.06305672,-0.10516009,0.1646827,0.087998234,0.017700162,0.15612519,0.10995332,-0.06305672,0.1646827,0.005778831243515,0.0770809292793273,-0.06305444,0.08432619,0.082806304,-0.10516009,0.087998234,0.1699348926544189,0.0173832401633262,-0.017709387,0.19189927,0.20023787,0.13139309,0.31880417,0.42543232,0.4436013,0.2841637,0.23348661,0.4145887,0.5694686,0.31401417,0.33185917,0.1903278,-0.051150456,0.06652523,0.40179706,0.22529627,0.011102198,0.2741717,-0.027541269,-0.091625474,-0.10242504,-0.08310413,0.13300188,0.042594388,0.10978313,0.24850646,-0.06763521,-0.014894433,-0.20504668,-0.07704212,-0.3830096,-0.39069486,-0.074883774,-0.023218751,-0.13741148,-0.04754737,0.15429632,-0.123802565,0.048875436,0.008521341,0.20591207,-0.062147684,0.073359884,0.12558259,-0.052222706,0.19894248
1195.0,1957,0.001941861727427,0.0017376546626895,0.0001754484007377,0.0008298817760256,0.053825457,0.20481157,-0.27179024,-0.11423626,-0.100312494,0.18098979,-0.030176222,0.15129817,0.20944315,0.35488066,0.004233744,0.027627861,0.12382812,0.120930076,0.069638565,0.06970459,-0.095378146,-0.10176741,0.14383489,0.1624045,0.004233744,0.12382812,0.069638565,-0.095378146,0.14383489,-0.0278020679950714,0.0492314338684082,0.027627861,0.120930076,0.06970459,-0.10176741,0.1624045,0.1555487871170044,0.0557799220085144,-0.019584952,0.18429786,0.13906677,0.19579394,0.3255195,0.44628632,0.36773342,0.30891684,0.14938141,0.36051637,0.4732484,0.40453076,0.3418076,0.28258437,-0.058072075,0.11952099,0.2773521,0.19009344,-0.08689737,0.1542814,-0.10786773,-0.15545192,-0.21170613,-0.10819526,0.1130849,0.09597921,0.15429531,0.26247343,-0.013022931,0.052290145,-0.21748376,-0.06131161,-0.3998797,-0.36424947,-0.1038384,0.041210413,-0.20446083,-0.0839728,0.122270785,-0.16306338,-0.03581205,0.047256663,0.16649422,-0.11360176,0.046645265,0.1238079,-0.07716264,0.17045316
1173.0,1958,0.0018974398410754,0.0018207776588567,0.0001821682510728,0.0009134100286749,0.19045106,0.21092755,-0.23984896,-0.17914993,-0.056644693,0.14668345,0.041326713,0.15462893,0.16967815,0.30287474,0.035735577,-0.015150892,0.074593276,-0.0018412806,0.0153132565,-0.021083783,-0.04871639,-0.11132652,0.037672132,0.027086262,0.035735577,0.074593276,0.0153132565,-0.04871639,0.037672132,0.0209924548864364,0.0229195699095726,-0.015150892,-0.0018412806,-0.021083783,-0.11132652,0.027086262,0.1271929502487182,-0.0244632422924041,-0.01566216,0.14177987,0.13672565,0.090930395,0.35226226,0.3723212,0.3222829,0.19850206,0.09863605,0.264256,0.4785792,0.31765258,0.3578487,0.1706631,0.024099417,0.06659881,0.09549754,0.032062307,-0.04981632,0.105898224,-0.0706308,-0.16599855,-0.13746834,-0.09898023,0.034918256,-0.016634023,0.10579947,0.21165872,-0.12105125,-0.12410057,-0.16756415,-0.0975652,-0.3337493,-0.14531386,-0.066837534,0.07088121,-0.0465129,-0.044989984,0.059316494,-0.10406429,0.07383592,0.067018315,0.22829273,0.026535377,0.022965664,-0.0014183646,0.02438403,0.021547299
1117.0,1959,0.0019128666210852,0.0018202764923011,0.0001830436391873,0.0009228634521361,0.18639678,0.2523455,-0.2615402,-0.15424706,-0.035528533,0.18931636,0.035868157,0.1493432,0.15726277,0.3602156,0.108099386,0.045261636,0.05044573,0.002098538,0.054029744,0.06988973,-0.021115877,-0.07809989,0.16353878,0.12249756,0.108099386,0.05044573,0.054029744,-0.021115877,0.16353878,0.0164917945861816,0.0709995567798614,0.045261636,0.002098538,0.06988973,-0.07809989,0.12249756,0.1593947172164917,0.0323295146226882,0.0015007518,0.18587759,0.24481948,0.16317064,0.30208516,0.4035496,0.32161134,0.21714917,0.093565956,0.31049216,0.50123394,0.3401868,0.37994337,0.22672963,0.049973466,0.12763166,0.093827635,0.07365943,-0.00095289946,0.15008624,0.0020103455,-0.09289606,-0.14883386,-0.15134445,0.11858107,0.067734376,0.11038146,0.26223946,-0.09437075,-0.104096204,-0.18776192,-0.05333779,-0.3299699,-0.094780535,-0.1508442,-0.00819961,-0.093391165,-0.03543875,0.09999834,-0.09909797,0.07642681,-0.05844839,0.19450508,0.050758414,0.05572037,0.044159796,0.011560574,0.09988017
