,year,tight,loose,indi,coll
0,1950,0.0023678380115939035,0.001413397842327413,0.00021115626458367842,0.000969375082490842
1,1951,0.002377664309597094,0.0013693728802991246,0.00019529195233189967,0.0008478401311094785
2,1952,0.0022666129011289136,0.0014297521610160402,0.0001914108385487149,0.0008521259222789013
3,1953,0.002150320779914442,0.001470793293029666,0.0002054181364863033,0.0008300026062215693
4,1954,0.0019928445323265415,0.0016114866514129744,0.00020511719594955885,0.0008252079824322729
5,1955,0.0019432719136602827,0.00165838075270029,0.00020708133540990405,0.0008666974782564856
6,1956,0.002021779128524161,0.0017135152264365111,0.00019368960756287784,0.000863738686202201
7,1957,0.0019418617274270997,0.001737654662689587,0.00017544840073771946,0.0008298817760256887
8,1958,0.0018974398410754084,0.001820777658856798,0.0001821682510728197,0.0009134100286749865
9,1959,0.0019128666210852835,0.0018202764923011777,0.0001830436391873239,0.0009228634521361658
10,1960,0.002009559755330364,0.0018171309293301924,0.0001775353648072147,0.0009407795831829649
11,1961,0.002012200969992201,0.0017811938574630354,0.00017558015299558503,0.000908051389119789
12,1962,0.0020109888016902134,0.0017754553675583143,0.00018289383642056123,0.000898033045022625
13,1963,0.0020132025828323613,0.0017218104503911036,0.00017299659664006737,0.0008484134696971068
14,1964,0.00202608829062813,0.0016427392544276895,0.00017639448275628768,0.0008618056084474444
15,1965,0.0019501412093144868,0.0015989135199276916,0.0001581272675334081,0.0008322552640355038
16,1966,0.002041577744567543,0.0015333564869633523,0.0001427745193041119,0.0008012761576432175
17,1967,0.002024655269800795,0.0014915747212813,0.00011860208242556578,0.0007792937209834301
18,1968,0.0020229475968156813,0.001445003860205978,0.00011959283918778445,0.0007418141647568584
19,1969,0.00205501137453114,0.0014355117289182675,0.00013276042953488547,0.0007020524778909021
20,1970,0.0021450991141997683,0.0014736966213644922,0.0001566739941754999,0.0007072280300073024
21,1971,0.0022021233385934075,0.001534232931496555,0.00018770884105379082,0.0006784373221405206
22,1972,0.002359915544478294,0.001573093741029652,0.00022406774640363177,0.0006822787236810005
23,1973,0.002379180467098,0.001617305048851238,0.000243077557351106,0.0006645345831738528
24,1974,0.002447299686342116,0.001667062259465573,0.0002564915206245847,0.000662178793561452
25,1975,0.0024357597139247184,0.001762874232073029,0.0002645859130154804,0.0006895054491695061
26,1976,0.0024510967989824295,0.0018534806541334245,0.0002777476193541263,0.0007171115555999157
27,1977,0.002351051509192205,0.001930141045377809,0.0003016055064912442,0.0007209409114027819
28,1978,0.002284283608527663,0.0020751532791591287,0.0003115183242528019,0.000742789161068101
29,1979,0.0022059024586269516,0.0022011871231817992,0.000330307715626889,0.000755224217763433
30,1980,0.0021275761224127825,0.002336692656409234,0.000364267828619599,0.0007824399113230486
31,1981,0.002065320699590042,0.002469845807002332,0.0004111986814661707,0.0008067646369746788
32,1982,0.0020562225601159817,0.00259014835917748,0.00046979194505882205,0.0008075857695887732
33,1983,0.002053525934830499,0.002693313954680817,0.0005176986562876859,0.0008103506281226405
34,1984,0.0020848641209210783,0.002797526533909903,0.0005674860140386175,0.0008243806333894099
35,1985,0.002110359762420038,0.002863850933722529,0.0006375248388954853,0.0008279396267231018
36,1986,0.0021384130196955603,0.0029138549505190853,0.0006995124366134016,0.0008164830865098338
